ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
648,S49,16063,37,E,1
649,S49,8760,65,62,E,0
650,S49,9810,93,31,E,0
651,S49,13067,44,39,E,1
652,S49,26379,3,43,E,1
653,S49,24652,94,32,E,1
654,S49,15883,74,50,E,1
655,S49,13965,79,25,K,1
656,S49,7859,52,32,E,0
657,S49,6886,39,33,E,0
658,S49,9033,01,24,E,1
659,S49,5644,44,27,E,1
660,S49,12345,41,31,K,1
661,S49,8116,97,46,E,0
662,S49,13631,21,61,E,1
663,S5,8716,17,66,E,0
664,S5,8630,43,34,E,0
665,S5,9988,1,34,E,0
666,S5,5709,61,29,E,1
667,S5,22322,93,28,K,1
668,S5,8914,26,27,E,1
669,S5,8723,25,32,K,0
670,S5,25998,02,44,E,1
671,S5,9785,35,30,E,1
672,S51,14883,11,39,E,1
673,S51,19300,45,43,E,1
674,S52,7163,75,70,E,0
675,S52,10947,98,67,E,1
676,S52,12867,19,59,E,1
677,S52,13874,82,52,K,1
678,S52,5578,13,75,E,0
679,S52,9521,26,39,K,0
680,S52,13272,12,45,E,1
681,S52,24246,21,41,E,1
682,S52,11693,09,38,K,1
683,S52,10354,25,41,E,1
684,S52,8167,43,34,E,0
685,S52,8256,6,31,E,0
686,S52,8882,48,30,E,1
687,S52,9633,47,42,K,0
688,S52,14724,86,60,K,1
689,S52,17950,7,45,K,1
690,S52,17429,36,52,E,1
691,S52,8338,75,41,E,0
692,S52,9674,5,43,E,0
693,S52,7357,87,30,E,1
694,S52,8131,13,51,E,0
695,S52,7564,07,53,K,0
696,S52,11113,3,42,E,1
697,S53,7896,35,62,E,0
698,S53,9800,87,69,E,0
699,S53,8258,27,61,E,0
700,S53,16547,07,61,E,1
701,S53,5141,16,59,E,0
702,S53,7742,93,36,E,0
703,S53,9699,9,55,E,0
704,S53,10612,02,45,E,1
705,S53,10610,56,48,E,1
706,S53,9615,8,34,K,0
707,S53,9141,22,37,K,0
708,S53,9794,52,34,E,0
709,S53,9497,18,30,E,1
710,S53,10052,51,28,E,1
711,S53,8697,84,31,E,0
712,S53,6062,06,56,E,0
713,S54,9195,33,60,E,0
714,S54,6939,4,58,K,0
715,S54,9766,64,58,E,0
716,S54,15077,9,51,E,1
717,S54,10532,56,61,E,1
718,S54,12026,88,38,E,1
719,S54,10194,43,33,E,1
720,S54,14036,6,28,E,1
721,S54,10880,42,30,E,1
722,S54,9002,31,38,E,0
723,S54,11204,87,30,E,1
724,S54,28495,22,44,E,1
725,S56,11202,73,59,E,1
726,S56,5914,88,66,E,0
727,S56,13474,56,51,K,1
728,S56,22245,23,49,E,1
729,S56,16303,85,36,E,1
730,S56,21217,42,38,E,1
